cTitulo,dModificacion,cURL,lEspañol,lIngles,lLingüistica,lRedesSociales,lGlobalizacion,lTurismo,lTecnologia,lInteligenciaArtificial,lAprendizajeAutomatico,lProcesamientoDelLenguajeNatural,lCienciaDeDatos,lCientificoDeDatos
Data Hackers Survey 2019,2020-05-12,www.kaggle.com/datahackers/pesquisa-data-hackers-2019,0,1,0,0,0,0,0,0,0,0,1,0
Data Science YouTube Channel Collection to Learn,2020-04-08,www.kaggle.com/funxexcel/data-science-youtube-channel-collection-to-learn,0,1,0,0,0,0,0,0,0,0,1,0
AP Computer Science A Exam Dataset,2016-11-13,www.kaggle.com/iceatgt/ap-computer-science-a-exam-dataset,0,1,0,0,0,0,0,0,0,0,1,0
Human Trafficking FBI Data,2020-03-11,www.kaggle.com/larsen0966/human-trafficking-fbi-data,0,1,0,0,0,0,0,0,0,0,1,0
Microsoft Data Science Capstone,2018-07-30,www.kaggle.com/nandvard/microsoft-data-science-capstone,0,1,0,0,0,0,0,0,0,0,1,0
HR Analytics: Job Change of Data Scientists,2020-12-07,www.kaggle.com/arashnic/hr-analytics-job-change-of-data-scientists,0,1,0,0,0,0,0,0,0,0,0,1
Data Scientist Jobs,2020-07-16,www.kaggle.com/andrewmvd/data-scientist-jobs,0,1,0,0,0,0,0,0,0,0,0,1
Data Scientist salary,2020-07-22,www.kaggle.com/jaiganeshnagidi/data-scientist-salary,0,1,0,0,0,0,0,0,0,0,0,1
10000 Data Scientist Job Postings from the USA,2019-12-13,www.kaggle.com/jobspikr/data-scientist-job-postings-from-the-usa,0,1,0,0,0,0,0,0,0,0,0,1
Indeed Dataset - Data Scientist/Analyst/Engineer),2018-11-02,www.kaggle.com/elroyggj/indeed-dataset-data-scientistanalystengineer,0,1,0,0,0,0,0,0,0,0,0,1
Deep Learning A-Z - ANN dataset,2017-05-16,www.kaggle.com/filippoo/deep-learning-az-ann,0,1,0,0,0,0,0,0,0,0,0,1
Data Behind Data Scientists,2020-03-14,www.kaggle.com/prashant111/data-behind-data-scientists,0,1,0,0,0,0,0,0,0,0,0,1
Data Scientists vs Size of Datasets,2016-10-18,www.kaggle.com/laurae2/data-scientists-vs-size-of-datasets,0,1,0,0,0,0,0,0,0,0,0,1
Cryptocurrency Historical Prices,2021-02-28,www.kaggle.com/sudalairajkumar/cryptocurrencypricehistory,0,1,0,0,0,0,0,0,0,0,0,1
'Spotify Dataset 1922-2021, ~600k Tracks',2021-04-20,www.kaggle.com/yamaerenay/spotify-dataset-19212020-160k-tracks,0,1,0,0,0,0,0,0,0,0,0,1
